Evaluation criteria,Home,Away
Shots,,
Total shots,16,15
Shots off target,4,6
Shots on target,9,3
Blocked shots,3,6
Hit woodwork,0,0
Shots inside box,12,8
Shots outside box,4,7
Expected goals (xG),,
Expected goals (xG),2.45,0.83
xG first half,1.45,0.34
xG second half,1.01,0.49
xG open play,1.11,0.70
xG set play,1.34,0.12
xG on target (xGOT),3.23,0.17
Passes,,
Passes,305,542
Accurate passes,223 (73%),464 (86%)
Own half,105,230
Opposition half,118,234
Accurate long balls,18 (41%),34 (55%)
Accurate crosses,6 (67%),4 (19%)
Throws,13,15
Discipline,,
Yellow cards,2,0
Red cards,0,0
Defence,,
Tackles won,10 (67%),15 (50%)
Interceptions,1,7
Blocks,6,3
Clearances,22,6
Keeper saves,3,5
Duels,,
Duels won,42,58
Ground duels won,25 (36%),45 (64%)
Aerial duels won,17 (57%),13 (43%)
Successful dribbles,2 (15%),3 (25%)
