Evaluation criteria,Home,Away
Shots,,
Total shots,7,8
Shots off target,1,3
Shots on target,2,2
Blocked shots,4,3
Hit woodwork,0,1
Shots inside box,4,5
Shots outside box,3,3
Expected goals (xG),,
Expected goals (xG),0.66,1.49
xG first half,0.31,1.00
xG second half,0.35,0.48
xG open play,0.47,0.67
xG set play,0.19,0.03
xG penalty,0.00,0.79
xG on target (xGOT),0.28,1.44
Passes,,
Passes,526,293
Accurate passes,454 (86%),211 (72%)
Own half,229,137
Opposition half,225,74
Accurate long balls,31 (62%),15 (29%)
Accurate crosses,4 (15%),0 (0%)
Throws,27,20
Discipline,,
Yellow cards,2,7
Red cards,0,0
Defence,,
Tackles won,6 (43%),12 (52%)
Interceptions,15,9
Blocks,3,4
Clearances,7,34
Keeper saves,0,1
Duels,,
Duels won,38,50
Ground duels won,28 (40%),42 (60%)
Aerial duels won,10 (56%),8 (44%)
Successful dribbles,3 (23%),5 (50%)
