Evaluation criteria,Home,Away
Shots,,
Total shots,14,14
Shots off target,5,3
Shots on target,7,9
Blocked shots,2,2
Hit woodwork,0,0
Shots inside box,10,10
Shots outside box,4,4
Expected goals (xG),,
Expected goals (xG),1.37,2.59
xG first half,0.23,1.88
xG second half,1.14,0.71
xG open play,1.03,2.59
xG set play,0.34,0.00
xG on target (xGOT),1.24,3.08
Passes,,
Passes,461,433
Accurate passes,366 (79%),344 (79%)
Own half,207,215
Opposition half,159,129
Accurate long balls,24 (42%),26 (48%)
Accurate crosses,4 (13%),5 (38%)
Throws,20,15
Discipline,,
Yellow cards,1,1
Red cards,0,0
Defence,,
Tackles won,8 (44%),7 (58%)
Interceptions,7,8
Blocks,2,2
Clearances,11,37
Keeper saves,8,6
Duels,,
Duels won,42,38
Ground duels won,31 (61%),21 (40%)
Aerial duels won,11 (39%),17 (61%)
Successful dribbles,4 (40%),1 (8%)
