Evaluation criteria,Home,Away
Shots,,
Total shots,15,9
Shots off target,6,3
Shots on target,7,5
Blocked shots,2,1
Hit woodwork,0,0
Shots inside box,13,9
Shots outside box,2,0
Expected goals (xG),,
Expected goals (xG),1.95,1.05
xG first half,1.41,0.58
xG second half,0.54,0.47
xG open play,1.70,0.80
xG set play,0.25,0.26
xG on target (xGOT),2.97,1.15
Passes,,
Passes,670,445
Accurate passes,578 (86%),356 (80%)
Own half,345,176
Opposition half,233,180
Accurate long balls,31 (56%),32 (46%)
Accurate crosses,10 (43%),7 (50%)
Throws,21,17
Discipline,,
Yellow cards,0,2
Red cards,0,0
Defence,,
Tackles won,5 (42%),8 (50%)
Interceptions,7,10
Blocks,1,2
Clearances,14,18
Keeper saves,4,4
Duels,,
Duels won,38,39
Ground duels won,27 (47%),30 (53%)
Aerial duels won,11 (55%),9 (45%)
Successful dribbles,7 (58%),5 (63%)
