Evaluation criteria,Home,Away
Shots,,
Total shots,29,10
Shots off target,9,1
Shots on target,6,8
Blocked shots,14,1
Hit woodwork,0,0
Shots inside box,17,8
Shots outside box,12,2
Expected goals (xG),,
Expected goals (xG),1.61,1.29
xG first half,0.78,0.39
xG second half,0.83,0.89
xG open play,1.34,1.25
xG set play,0.27,0.04
xG on target (xGOT),1.40,2.45
Passes,,
Passes,622,216
Accurate passes,530 (85%),123 (57%)
Own half,153,43
Opposition half,377,80
Accurate long balls,17 (50%),27 (40%)
Accurate crosses,9 (24%),4 (36%)
Throws,16,7
Discipline,,
Yellow cards,2,2
Red cards,0,0
Defence,,
Tackles won,7 (78%),3 (27%)
Interceptions,3,9
Blocks,2,14
Clearances,12,46
Keeper saves,5,5
Duels,,
Duels won,45,43
Ground duels won,23 (50%),23 (50%)
Aerial duels won,22 (52%),20 (48%)
Successful dribbles,8 (57%),4 (44%)
