Evaluation criteria,Home,Away
Shots,,
Total shots,10,5
Shots off target,3,2
Shots on target,3,2
Blocked shots,4,1
Hit woodwork,0,0
Shots inside box,8,4
Shots outside box,2,1
Expected goals (xG),,
Expected goals (xG),1.03,0.30
xG first half,0.30,0.11
xG second half,0.73,0.19
xG open play,0.81,0.22
xG set play,0.22,0.07
xG on target (xGOT),1.71,0.53
Passes,,
Passes,451,471
Accurate passes,373 (83%),396 (84%)
Own half,153,248
Opposition half,220,148
Accurate long balls,21 (47%),25 (47%)
Accurate crosses,6 (29%),3 (18%)
Throws,23,20
Discipline,,
Yellow cards,5,2
Red cards,0,0
Defence,,
Tackles won,15 (65%),15 (65%)
Interceptions,10,13
Blocks,1,4
Clearances,13,20
Keeper saves,2,2
Duels,,
Duels won,52,49
Ground duels won,36 (46%),43 (54%)
Aerial duels won,16 (73%),6 (27%)
Successful dribbles,3 (21%),7 (47%)
