Evaluation criteria,Home,Away
Shots,,
Total shots,9,8
Shots off target,6,7
Shots on target,2,0
Blocked shots,1,1
Hit woodwork,0,1
Shots inside box,7,8
Shots outside box,2,0
Expected goals (xG),,
Expected goals (xG),1.14,1.23
xG first half,0.21,0.93
xG second half,0.93,0.30
xG open play,0.78,0.30
xG set play,0.36,0.14
xG penalty,0.00,0.79
xG on target (xGOT),1.04,0.08
Passes,,
Passes,284,633
Accurate passes,203 (71%),551 (87%)
Own half,148,286
Opposition half,55,265
Accurate long balls,16 (35%),20 (42%)
Accurate crosses,1 (7%),3 (16%)
Throws,21,23
Discipline,,
Yellow cards,1,4
Red cards,0,0
Defence,,
Tackles won,12 (57%),6 (55%)
Interceptions,11,10
Blocks,1,1
Clearances,25,13
Keeper saves,0,1
Duels,,
Duels won,47,40
Ground duels won,38 (59%),26 (41%)
Aerial duels won,9 (39%),14 (61%)
Successful dribbles,4 (57%),4 (40%)
