Evaluation criteria,Home,Away
Shots,,
Total shots,14,12
Shots off target,3,2
Shots on target,8,5
Blocked shots,3,5
Hit woodwork,0,0
Shots inside box,11,9
Shots outside box,3,3
Expected goals (xG),,
Expected goals (xG),1.80,1.10
xG first half,1.03,0.66
xG second half,0.77,0.44
xG open play,1.50,0.64
xG set play,0.30,0.46
xG on target (xGOT),1.84,2.41
Passes,,
Passes,545,464
Accurate passes,450 (83%),366 (79%)
Own half,262,126
Opposition half,188,240
Accurate long balls,39 (57%),14 (32%)
Accurate crosses,1 (4%),2 (25%)
Throws,28,20
Discipline,,
Yellow cards,1,1
Red cards,0,1
Defence,,
Tackles won,8 (67%),10 (50%)
Interceptions,12,6
Blocks,4,4
Clearances,9,24
Keeper saves,2,3
Duels,,
Duels won,43,42
Ground duels won,29 (50%),29 (50%)
Aerial duels won,14 (52%),13 (48%)
Successful dribbles,10 (45%),2 (29%)
