Evaluation criteria,Home,Away
Shots,,
Total shots,18,9
Shots off target,9,2
Shots on target,6,6
Blocked shots,3,1
Hit woodwork,0,0
Shots inside box,12,4
Shots outside box,6,5
Expected goals (xG),,
Expected goals (xG),1.40,1.78
xG first half,0.66,1.16
xG second half,0.74,0.61
xG open play,0.90,0.99
xG set play,0.50,0.00
xG penalty,0.00,0.79
xG on target (xGOT),0.76,1.79
Passes,,
Passes,483,422
Accurate passes,374 (77%),330 (78%)
Own half,208,232
Opposition half,166,98
Accurate long balls,30 (53%),22 (44%)
Accurate crosses,5 (26%),0 (0%)
Throws,29,25
Discipline,,
Yellow cards,3,1
Red cards,0,0
Defence,,
Tackles won,12 (67%),9 (47%)
Interceptions,10,20
Blocks,1,3
Clearances,9,26
Keeper saves,4,6
Duels,,
Duels won,56,44
Ground duels won,35 (52%),32 (48%)
Aerial duels won,21 (64%),12 (36%)
Successful dribbles,9 (43%),4 (31%)
