Evaluation criteria,Home,Away
Shots,,
Total shots,16,8
Shots off target,6,4
Shots on target,5,4
Blocked shots,5,0
Hit woodwork,0,0
Shots inside box,8,4
Shots outside box,8,4
Expected goals (xG),,
Expected goals (xG),2.20,1.04
xG first half,0.42,0.84
xG second half,1.78,0.19
xG open play,1.67,0.17
xG set play,0.53,0.08
xG penalty,0.00,0.79
xG on target (xGOT),2.59,1.32
Passes,,
Passes,657,331
Accurate passes,588 (89%),250 (76%)
Own half,278,153
Opposition half,310,97
Accurate long balls,25 (53%),22 (39%)
Accurate crosses,4 (16%),1 (8%)
Throws,10,15
Discipline,,
Yellow cards,0,2
Red cards,0,0
Defence,,
Tackles won,10 (67%),7 (50%)
Interceptions,4,7
Blocks,0,5
Clearances,13,22
Keeper saves,3,2
Duels,,
Duels won,53,42
Ground duels won,38 (59%),26 (41%)
Aerial duels won,15 (48%),16 (52%)
Successful dribbles,6 (46%),0 (0%)
