Evaluation criteria,Home,Away
Shots,,
Total shots,12,16
Shots off target,3,6
Shots on target,6,9
Blocked shots,3,1
Hit woodwork,0,0
Shots inside box,10,10
Shots outside box,2,6
Expected goals (xG),,
Expected goals (xG),1.44,2.71
xG first half,0.70,1.44
xG second half,0.74,1.27
xG open play,1.36,1.79
xG set play,0.08,0.92
xG on target (xGOT),1.72,2.19
Passes,,
Passes,471,514
Accurate passes,381 (81%),420 (82%)
Own half,224,246
Opposition half,157,174
Accurate long balls,24 (46%),40 (57%)
Accurate crosses,7 (37%),6 (43%)
Throws,14,15
Discipline,,
Yellow cards,0,0
Red cards,0,0
Defence,,
Tackles won,3 (25%),7 (37%)
Interceptions,6,11
Blocks,1,3
Clearances,14,23
Keeper saves,6,5
Duels,,
Duels won,33,36
Ground duels won,27 (49%),28 (51%)
Aerial duels won,6 (43%),8 (57%)
Successful dribbles,5 (33%),3 (27%)
