Evaluation criteria,Home,Away
Shots,,
Total shots,9,15
Shots off target,3,2
Shots on target,5,8
Blocked shots,1,5
Hit woodwork,0,0
Shots inside box,8,7
Shots outside box,1,8
Expected goals (xG),,
Expected goals (xG),2.15,1.07
xG first half,1.21,0.24
xG second half,0.94,0.83
xG open play,1.47,0.98
xG set play,0.68,0.09
xG on target (xGOT),2.10,2.13
Passes,,
Passes,335,511
Accurate passes,213 (64%),418 (82%)
Own half,106,201
Opposition half,107,217
Accurate long balls,28 (37%),18 (49%)
Accurate crosses,4 (31%),10 (38%)
Throws,16,24
Discipline,,
Yellow cards,3,1
Red cards,0,0
Defence,,
Tackles won,4 (25%),8 (44%)
Interceptions,9,5
Blocks,5,1
Clearances,24,20
Keeper saves,6,3
Duels,,
Duels won,42,67
Ground duels won,28 (42%),39 (58%)
Aerial duels won,14 (33%),28 (67%)
Successful dribbles,3 (30%),12 (75%)
