Evaluation criteria,Home,Away
Shots,,
Total shots,15,9
Shots off target,7,4
Shots on target,5,4
Blocked shots,3,1
Hit woodwork,0,0
Shots inside box,11,4
Shots outside box,4,5
Expected goals (xG),,
Expected goals (xG),1.84,0.54
xG first half,1.11,0.03
xG second half,0.73,0.50
xG open play,1.67,0.25
xG set play,0.17,0.29
xG on target (xGOT),1.69,0.33
Passes,,
Passes,563,357
Accurate passes,497 (88%),290 (81%)
Own half,312,133
Opposition half,185,157
Accurate long balls,31 (60%),25 (60%)
Accurate crosses,3 (19%),3 (14%)
Throws,11,14
Discipline,,
Yellow cards,0,0
Red cards,0,0
Defence,,
Tackles won,10 (56%),11 (61%)
Interceptions,6,9
Blocks,1,2
Clearances,24,15
Keeper saves,4,3
Duels,,
Duels won,41,43
Ground duels won,33 (51%),32 (49%)
Aerial duels won,8 (42%),11 (58%)
Successful dribbles,5 (33%),6 (50%)
