Evaluation criteria,Home,Away
Shots,,
Total shots,4,23
Shots off target,3,6
Shots on target,0,11
Blocked shots,1,6
Hit woodwork,1,1
Shots inside box,4,20
Shots outside box,0,3
Expected goals (xG),,
Expected goals (xG),0.40,2.65
xG first half,0.17,0.77
xG second half,0.23,1.88
xG open play,0.26,1.91
xG set play,0.14,0.73
xG on target (xGOT),0.00,3.60
Passes,,
Passes,368,633
Accurate passes,274 (74%),543 (86%)
Own half,214,250
Opposition half,60,293
Accurate long balls,20 (32%),35 (59%)
Accurate crosses,1 (20%),13 (35%)
Throws,11,19
Discipline,,
Yellow cards,0,0
Red cards,2,0
Defence,,
Tackles won,11 (73%),9 (56%)
Interceptions,11,9
Blocks,7,1
Clearances,36,3
Keeper saves,7,0
Duels,,
Duels won,36,41
Ground duels won,32 (51%),31 (49%)
Aerial duels won,4 (29%),10 (71%)
Successful dribbles,2 (29%),4 (57%)
