Evaluation criteria,Home,Away
Shots,,
Total shots,12,7
Shots off target,4,2
Shots on target,6,4
Blocked shots,2,1
Hit woodwork,0,0
Shots inside box,7,4
Shots outside box,5,3
Expected goals (xG),,
Expected goals (xG),1.74,0.78
xG first half,0.72,0.51
xG second half,1.02,0.28
xG open play,0.70,0.38
xG set play,1.03,0.41
xG on target (xGOT),1.26,1.22
Passes,,
Passes,520,363
Accurate passes,441 (85%),274 (75%)
Own half,274,148
Opposition half,167,126
Accurate long balls,25 (45%),16 (32%)
Accurate crosses,3 (18%),2 (20%)
Throws,20,28
Discipline,,
Yellow cards,1,6
Red cards,0,0
Defence,,
Tackles won,13 (76%),12 (63%)
Interceptions,7,12
Blocks,1,2
Clearances,16,19
Keeper saves,2,4
Duels,,
Duels won,57,44
Ground duels won,45 (58%),32 (42%)
Aerial duels won,12 (50%),12 (50%)
Successful dribbles,7 (44%),4 (33%)
