Evaluation criteria,Home,Away
Shots,,
Total shots,9,26
Shots off target,4,12
Shots on target,1,9
Blocked shots,4,5
Hit woodwork,0,0
Shots inside box,5,21
Shots outside box,4,5
Expected goals (xG),,
Expected goals (xG),0.58,4.41
xG first half,0.06,2.34
xG second half,0.53,2.07
xG open play,0.30,3.81
xG set play,0.29,0.61
xG on target (xGOT),0.25,2.81
Passes,,
Passes,307,698
Accurate passes,225 (73%),611 (88%)
Own half,128,347
Opposition half,97,264
Accurate long balls,13 (28%),27 (53%)
Accurate crosses,1 (13%),4 (33%)
Throws,17,24
Discipline,,
Yellow cards,3,3
Red cards,0,0
Defence,,
Tackles won,6 (46%),7 (54%)
Interceptions,4,5
Blocks,5,4
Clearances,19,10
Keeper saves,6,0
Duels,,
Duels won,38,39
Ground duels won,33 (51%),32 (49%)
Aerial duels won,5 (42%),7 (58%)
Successful dribbles,6 (50%),8 (73%)
