Evaluation criteria,Home,Away
Shots,,
Total shots,8,12
Shots off target,2,4
Shots on target,2,5
Blocked shots,4,3
Hit woodwork,0,0
Shots inside box,4,10
Shots outside box,4,2
Expected goals (xG),,
Expected goals (xG),0.52,1.90
xG first half,0.22,1.55
xG second half,0.30,0.35
xG open play,0.39,0.69
xG set play,0.12,0.42
xG penalty,0.00,0.79
xG on target (xGOT),0.05,2.62
Passes,,
Passes,575,380
Accurate passes,472 (82%),282 (74%)
Own half,254,156
Opposition half,218,126
Accurate long balls,21 (43%),33 (53%)
Accurate crosses,4 (25%),5 (56%)
Throws,23,21
Discipline,,
Yellow cards,0,0
Red cards,0,0
Defence,,
Tackles won,16 (67%),7 (58%)
Interceptions,11,14
Blocks,3,4
Clearances,13,21
Keeper saves,2,2
Duels,,
Duels won,47,51
Ground duels won,36 (53%),32 (47%)
Aerial duels won,11 (37%),19 (63%)
Successful dribbles,6 (38%),11 (50%)
