Evaluation criteria,Home,Away
Shots,,
Total shots,14,7
Shots off target,7,2
Shots on target,4,4
Blocked shots,3,1
Hit woodwork,0,0
Shots inside box,10,6
Shots outside box,4,1
Expected goals (xG),,
Expected goals (xG),1.91,0.64
xG first half,0.46,0.38
xG second half,1.46,0.26
xG open play,0.71,0.64
xG set play,0.42,0.00
xG penalty,0.78,0.00
xG on target (xGOT),1.25,0.83
Passes,,
Passes,329,680
Accurate passes,254 (77%),590 (87%)
Own half,131,390
Opposition half,123,200
Accurate long balls,12 (26%),29 (53%)
Accurate crosses,7 (44%),6 (50%)
Throws,23,21
Discipline,,
Yellow cards,1,2
Red cards,0,0
Defence,,
Tackles won,10 (63%),8 (38%)
Interceptions,12,6
Blocks,1,3
Clearances,17,12
Keeper saves,2,3
Duels,,
Duels won,49,57
Ground duels won,35 (47%),40 (53%)
Aerial duels won,14 (45%),17 (55%)
Successful dribbles,10 (40%),11 (55%)
